PROGRAM_ID,OFFER_ID,SENDER_ID,ACTION,STATUS,MSISDN,NOTIFICATION_MSG
UOB_Program,UOB_Xsales_CreditCard_B_Offer,True,sms-dr,Message acknowledged by SMSC,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,000 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม https://stg.elinks.io/RY52R_jF หรือ โทร.0-2089-9999"
UOB_Program,UOB_Xsales_CreditCard_Offer,True,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,500 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม ((https://www.uob.co.th/truememberblack)) หรือ โทร.0-2089-9999"
UOB_Program,UOB_Xsales_iCash_Offer,True,sms-dr,Successfully sent to phone,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับ SMS นี้เท่านั้น สมัครสินเชื่อส่วนบุคคลกับ UOB iCash รับสิทธิพิเศษ!ดอกเบี้ยเริ่มต้น 9.50% ต่อปี 6 เดือนแรก และตั้งแต่เดือนที่ 7 เป็นต้นไปดอกเบี้ย 14.50% ต่อปี (คุณสมบัติ เงื่อนไขและการอนุมัติสินเชื่อเป็นไปตามหลักเกณฑ์ของธนาคาร) ตั้งแต่ 1 มี.ค.65 - 30 มิ.ย.65 รายละเอียดเพิ่มเติมโทร.0-2093-6803
UOB_Program,UOB_Xsales_CreditCard_B_Offer,True,sms-dr,Successfully sent to phone,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,000 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม https://stg.elinks.io/RY52R_jF หรือ โทร.0-2089-9999"
UOB_Program,UOB_Xsales_CreditCard_Offer,True,sms-dr,Message acknowledged by SMSC,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,500 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม https://stg.elinks.io/G03q2yIw หรือ โทร.0-2089-9999"
UOB_Program,UOB_Xsales_CreditCard_Offer,True,sms-dr,Successfully sent to phone,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"พิเศษเฉพาะลูกค้า TrueMove H ที่ได้รับข้อความนี้เท่านั้น รับสิทธิพิเศษสุดคุ้ม 3 ต่อ ได้แก่ ต่อที่ 1 รับเครดิตเงินคืนสูงสุด 1,500 บาท,ต่อที่ 2 รับเครดิตเงินคืน 10% จากยอดชำระบิล TrueMove H, TrueOnline, TrueVisions นาน 1 ปี และต่อที่ 3 รับกระเป๋า Valentino Rudy Smarty Bag 1 ใบ มูลค่า 2,190 บาท เมื่อใช้จ่ายผ่านบัตรฯ ตามเงื่อนไข เพียงสมัครบัตรเครดิตยูโอบีพร้อมบริการยูโอบี เพย์บิล ระหว่างวันที่ 17 ม.ค. 65 – 15 เม.ย. 65 รายละเอียดเพิ่มเติม https://stg.elinks.io/G03q2yIw หรือ โทร.0-2089-9999"
RT_WS_Ecommerce_Shopee_MidmonthTest_Program,RT_WS_Shopee_MidmonthTest_msdk_Offer,ShopeeDeals,smsmt-submit,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู คลิกเก็บ https://stg.elinks.io/Ho256lQH พร้อมช้อปสุดคุ้มและส่งฟรีทั่วไทยกับ Shopee Midmonth Sales
RT_WS_Ecommerce_Shopee_MidmonthTest_Program,RT_WS_Shopee_MidmonthTest_msdk_Offer,ShopeeDeals,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู คลิกเก็บ ((https://shp.ee/hnigrv7)) พร้อมช้อปสุดคุ้มและส่งฟรีทั่วไทยกับ Shopee Midmonth Sales
RT_WS_Ecommerce_Shopee_MidmonthTest_Program,RT_WS_Shopee_MidmonthTest_msdk_Offer,ShopeeDeals,sms-dr,Message acknowledged by SMSC,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู คลิกเก็บ https://stg.elinks.io/Ho256lQH พร้อมช้อปสุดคุ้มและส่งฟรีทั่วไทยกับ Shopee Midmonth Sales
RT_WS_Ecommerce_Shopee_MidmonthTest_Program,RT_WS_Shopee_MidmonthTest_msdk_Offer,ShopeeDeals,sms-dr,Successfully sent to phone,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,แจกคูปองส่วนลดเฉพาะลูกค้าทรู คลิกเก็บ https://stg.elinks.io/Ho256lQH พร้อมช้อปสุดคุ้มและส่งฟรีทั่วไทยกับ Shopee Midmonth Sales
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_HB_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1047))"
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_HB_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1047))"
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_HB_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1047))"
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_HB_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1047))"
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_HB_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1047))"
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_HB_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1047))"
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Banking_Program,RT_WS_AIA_Banking_GIWL_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1048))
RT_WS_Insurance_AIA_Ecommerce_Program,RT_WS_AIA_Ecommerce_GIWL_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1046))
RT_WS_Insurance_AIA_Ecommerce_Program,RT_WS_AIA_Ecommerce_HB_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1045))"
RT_WS_Lazada_Payday_Program,RT_WS_Lazada_Payday_offcontacttime_Offer,Lazada,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ช้อปสนุกสุขเต็มสิบ กับ Lazada เซลใหญ่วันเกิด 10 ปี! ฉลองเงินเดือนออก แจกคูปองพิเศษเฉพาะลูกค้าทรู  คลิกเลย! ((https://c.lazada.co.th/t/c.bVs26y?sub_aff_id=RT032022-Trigger-payday))
RT_WS_Insurance_AIA_Ecommerce_Program,RT_WS_AIA_Ecommerce_HB_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1045))"
RT_WS_Insurance_AIA_Ecommerce_Program,RT_WS_AIA_Ecommerce_GIWL_A_OffContactTime_Offer,AIA,smsmt-notification-received,success,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1046))
RT_WS_Insurance_AIA_Ecommerce_Program,RT_WS_AIA_Ecommerce_GIWL_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ซื้อประกันชีวิตอาวุโสOK จาก AIA ให้พ่อแม่ ไม่ต้องตรวจสุขภาพ จ่ายเบี้ยเริ่มต้นเพียงวันละ 6บ. คุ้มครองชีวิตสูงสุด2แสนบาท สนใจ คลิก ((https://campaigns.aia.co.th/aia-dm/gi/tr/gi-t-50TP-noemail-popup.html?bannerID=SMS_GI-Benefit&cmpid=thdm-omega-1046))
RT_WS_Insurance_AIA_Ecommerce_Program,RT_WS_AIA_Ecommerce_HB_A_OffContactTime_Offer,AIA,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,"เจ็บป่วยหรือบาดเจ็บ ก็ไม่ต้องกลัวขาดรายได้ ด้วยประกันจาก AIA นอนรพ. รับเงินชดเชยวันละ 3,000 บ. คลิก! ((https://www.aia.co.th/th/campaigns/tr/hb-extra-sim.html?bannerID=SMS2_HB&cmpid=thdm-omega-1045))"
RT_WS_Lazada_Payday_Program,RT_WS_Lazada_Payday_offcontacttime_Offer,Lazada,smsmt-submit,FAILED,3bc112bbfa202b0808d1330c90bc38b9b34e93bb252c00adf15730500928c06a,ช้อปสนุกสุขเต็มสิบ กับ Lazada เซลใหญ่วันเกิด 10 ปี! ฉลองเงินเดือนออก แจกคูปองพิเศษเฉพาะลูกค้าทรู  คลิกเลย! ((https://c.lazada.co.th/t/c.bVs26y?sub_aff_id=RT032022-Trigger-payday))
